STATE,3yraverage
ALABAMA,204956.2333
ALASKA,50498.66667
ARIZONA,311497.0333
ARKANSAS,120362.2
CALIFORNIA,2673360.567
COLORADO,330574.9333
CONNECTICUT,262508.6
DELAWARE,71287.7
DISTRICT OF COLUMBIA,130424.8333
FLORIDA,936491.9333
GEORGIA,538356.2333
HAWAII,85611.96667
IDAHO,69257.06667
ILLINOIS,805948.5667
INDIANA,340336.7333
IOWA,180661.5
KANSAS,155456.1667
KENTUCKY,196375.3667
LOUISIANA,232795
MAINE,59555.06667
MARYLAND,383730.4667
MASSACHUSETTS,521786.6333
MICHIGAN,490939.8
MINNESOTA,338999.3667
MISSISSIPPI,107310.2333
MISSOURI,298157.9333
MONTANA,46258.4
NEBRASKA,117046.7333
NEVADA,150806.8667
NEW HAMPSHIRE,78653.6
NEW JERSEY,584510.4
NEW MEXICO,91980.03333
NEW YORK,1545257.233
NORTH CAROLINA,520782.6333
NORTH DAKOTA,52852.83333
OHIO,625437.3333
OKLAHOMA,184354.0333
OREGON,215221.3
PENNSYLVANIA,730325.7667
RHODE ISLAND,58003.16667
SOUTH CAROLINA,212690.1
SOUTH DAKOTA,48694.73333
TENNESSEE,335693.4667
TEXAS,1593158.867
UTAH,157322.8
VERMONT,31590.1
VIRGINIA,496325.3667
WASHINGTON,495506.0333
WEST VIRGINIA,71550.8
WISCONSIN,312780.3
WYOMING,37261.7
NEW ENGLAND,1012097.233
MIDEAST,3445536.467
GREAT LAKES,2575442.733
PLAINS,1191869.233
SOUTHEAST,3973689.667
SOUTHWEST,2180990
ROCKY MOUNTAIN,640674.9
FAR WEST,3671005.367
