STATE,POPPCT_URBAN
ALABAMA,59.04
ALASKA,66.02
ARIZONA,89.81
ARKANSAS,56.16
CALIFORNIA,94.95
COLORADO,86.15
CONNECTICUT,87.99
DELAWARE,83.3
DISTRICT OF COLUMBIA,100
FLORIDA,91.16
GEORGIA,75.07
HAWAII,91.93
IDAHO,70.58
ILLINOIS,88.49
INDIANA,72.44
IOWA,64.02
KANSAS,74.2
KENTUCKY,58.38
LOUISIANA,73.19
MAINE,38.66
MARYLAND,87.2
MASSACHUSETTS,91.97
MICHIGAN,74.57
MINNESOTA,73.27
MISSISSIPPI,49.35
MISSOURI,70.44
MONTANA,55.89
NEBRASKA,73.13
NEVADA,94.2
NEW HAMPSHIRE,60.3
NEW JERSEY,94.68
NEW MEXICO,77.43
NEW YORK,87.87
NORTH CAROLINA,66.09
NORTH DAKOTA,59.9
OHIO,77.92
OKLAHOMA,66.24
OREGON,81.03
PENNSYLVANIA,78.66
RHODE ISLAND,90.73
SOUTH CAROLINA,66.33
SOUTH DAKOTA,56.65
TENNESSEE,66.39
TEXAS,84.7
UTAH,90.58
VERMONT,38.9
VIRGINIA,75.45
WASHINGTON,84.05
WEST VIRGINIA,48.72
WISCONSIN,70.15
WYOMING,64.76
PUERTO RICO,93.76
