STATE,AveragePopn16_18
ALABAMA,4875912
ALASKA,739576
ARIZONA,7055324.667
ARKANSAS,3002410.667
CALIFORNIA,39388507
COLORADO,5617462.333
CONNECTICUT,3575073
DELAWARE,957821.6667
DISTRICT OF COLUMBIA,694907
FLORIDA,20968706.33
GEORGIA,10412431
HAWAII,1424266.333
IDAHO,1718680.667
ILLINOIS,12784723.67
INDIANA,6661768
IOWA,3143855.667
KANSAS,2911152.333
KENTUCKY,4453501.667
LOUISIANA,4669670.333
MAINE,1334945.667
MARYLAND,6024100.333
MASSACHUSETTS,6863805.667
MICHIGAN,9974750.667
MINNESOTA,5567581
MISSISSIPPI,2988163.667
MISSOURI,6107422.333
MONTANA,1052086
NEBRASKA,1917589
NEVADA,2975523
NEW HAMPSHIRE,1349532.667
NEW JERSEY,8890526.333
NEW MEXICO,2093870.667
NEW YORK,19591505.67
NORTH CAROLINA,10270366.33
NORTH DAKOTA,756535.3333
OHIO,11662858
OKLAHOMA,3934162.667
OREGON,4142903
PENNSYLVANIA,12793681.67
RHODE ISLAND,1056954.667
SOUTH CAROLINA,5021193.667
SOUTH DAKOTA,872803.6667
TENNESSEE,6707938.333
TEXAS,28320684.67
UTAH,3102278.667
VERMONT,624822.6667
VIRGINIA,8464612.667
WASHINGTON,7418567.667
WEST VIRGINIA,1817936.333
WISCONSIN,5792859
WYOMING,580320.3333
PUERTO RICO,3308883
